1,Diario de navegación del paquebot ''El Colón'',1778-11-02,,"CORREOS,275B,R.9",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41261
2,Diario de navegación del paquebot ''El Colón'',1772-07-01,,"CORREOS,275A,R.13",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41251
3,Diario de navegación del paquebot ''El Colón'',1792-10-08,,"CORREOS,275B,R.10",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Antonio Santiago Piñeiro, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41262
4,Diario de navegación del paquebot ''El Colón'',1776-12-04,,"CORREOS,275B,R.7",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Rivero y Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41259
5,Diario de navegación del paquebot ''El Colón'',1775-11-04,,"CORREOS,275B,R.5",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Rivero y Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41257
6,Diario de navegación del paquebot ''El Colón'',1769-03-04,,"CORREOS,275A,R.7",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Llano, con destino a la carrera de La Habana. Se refiere únicamente al viaje de ida",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41245
7,Diario de navegación del paquebot ''El Colón'',1767-12-01,,"CORREOS,275A,R.5",Archivo General de Indias,"Diario de navegación del paquebote 'El Colón' al mando de su segundo piloto, Cosme de Bringas, con destino a la carrera de La Habana. El diario está suscrito por el segundo piloto, el capitán era Juan de Zurbarán",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41243
8,Diario de navegación del paquebot ''El Colón'',1766-10-10,,"CORREOS,275A,R.3",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Juan de Zurbarán, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41241
9,Diario de navegación del paquebot ''El Colón'',1774-04-05,,"CORREOS,275B,R.3",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41255
10,Diario de navegación del paquebot ''El Colón'',1776-05-02,,"CORREOS,275B,R.6",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41258
11,Diario de navegación del paquebot ''El Colón'',1765-01-24,,"CORREOS,279B,R.20",Archivo General de Indias,"Diario de navegación del paquebote 'El Colón' al mando de su capitán Juan de Zurbarán, procedente de los astilleros de Sorroza.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41323
12,Diario de navegación del paquebot ''El Colón'',1774-11-30,,"CORREOS,275B,R.4",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41256
13,Diario de navegación del paquebot ''El Colón'',1769-09-01,,"CORREOS,275A,R.8",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana. Este paquebot se refiere al 'Nuevo Colón'",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41246
14,Diario de navegación del paquebot ''El Colón'',1770-09-28,,"CORREOS,275A,R.10",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Antonio de la Villa, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41248
15,Diario de navegación del paquebot ''El Colón'',1789-04-16,,"CORREOS,195B,R.11",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40921
16,Diario de navegación del paquebot ''El Colón'',1770-03-03,,"CORREOS,275A,R.9",Archivo General de Indias,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Antonio de la Villa, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41247
